#	Name	name_smiles	Wavelength	Epsilon	Quantum Yield	exactmw	lipinskiHBA	lipinskiHBD	NumRotatableBonds	NumHBD	NumHBA	NumHeteroatoms	NumAmideBonds	FractionCSP3	NumRings	NumAromaticRings	NumAliphaticRings	NumSaturatedRings	NumHeterocycles	NumAromaticHeterocycles	NumSaturatedHeterocycles	NumAliphaticHeterocycles	NumSpiroAtoms	NumBridgeheadAtoms	NumAtomStereoCenters	NumUnspecifiedAtomStereoCenters	labuteASA	tpsa	CrippenClogP	CrippenMR
1	Benzene	C1=CC=CC=C1	254.75	210	0.053	78.046950192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.43140311949697	0.0	1.6866	26.441999999999993
2	Toluene	CC1=CC=CC=C1	261.75	2860	0.17	92.062600256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.79634523389357	0.0	1.99502	31.17899999999999
3	o-Xylene	CC1=CC=CC=C1C	263.0	254	0.17	106.07825032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.16128734829018	0.0	2.30344	35.916
4	m-Xylene	CC1=CC(=CC=C1)C	265.0	284	0.13	106.07825032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.16128734829018	0.0	2.30344	35.916000000000004
5	p-Xylene	CC1=CC=C(C=C1)C	275.0	770	0.22	106.07825032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.16128734829018	0.0	2.30344	35.916
6	Mesitylene	CC1=CC(=CC(=C1)C)C	265.0	190	0.08800000000000001	120.093900384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.52622946268678	0.0	2.611860000000001	40.65300000000001
7	Durene	CC1=CC(=C(C=C1C)C)C	278.0	214	0.3	134.109550448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.89117157708339	0.0	2.920280000000001	45.39000000000002
8	Pentamethylbenzene	CC1=CC(=C(C(=C1C)C)C)C	271.0	629	0.075	148.125200512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45454545454545453	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.25611369147998	0.0	3.2287000000000017	50.12700000000003
9	Hexamethylbenzene	CC1=C(C(=C(C(=C1C)C)C)C)C	271.0	214	0.01	162.140850576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.6210558058766	0.0	3.5371200000000025	54.86400000000003
10	Phenol	C1=CC=C(C=C1)O	270.75	2340	0.075	94.041864812	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.22563687169298	20.23	1.3921999999999997	28.106799999999993
